Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
421,4,18,18,4,0,0.06,0,0.91,0.03,35
422,4,19,18,2,0,0,0,1,0,25
423,4,20,18,2,0,0,0,1,0,30
424,4,21,18,2,0,0,0,1,0,17
425,4,22,14,0,0,0,0,0,0,0
426,4,23,11,4,0.14,0.41,0,0.45,0,22
427,5,0,11,4,0.16,0.24,0,0.6,0,45
428,5,1,11,4,0.6,0,0,0.4,0,10
429,5,2,11,0,0,0,0,1,0,14
430,5,3,11,4,0.33,0,0,0.67,0,18
431,5,4,11,3,0.03,0,0,0.97,0,30
432,5,5,11,2,0,0,0,1,0,11
433,5,6,17,0,0,0,0,0,0,0
434,5,7,14,3,0.07,0.2,0,0.73,0,15
435,5,8,14,4,0.04,0.48,0.04,0.44,0,25
436,5,9,14,3,0.03,0,0.13,0.84,0,31
437,5,10,14,4,0.09,0.05,0.05,0.82,0,22
438,5,11,14,5,0.24,0,0,0.64,0.12,25
439,5,12,14,5,0.08,0.05,0,0.88,0,40
440,5,13,14,3,0,0.29,0,0.71,0,34
441,5,14,13,0,0,0,0,0,0,0
442,5,15,17,2,0,0,0.33,0.67,0,3
443,5,16,17,2,0,0.17,0,0.83,0,6
444,5,17,17,2,0,0.47,0.06,0.47,0,32
445,5,18,17,2,0,0,0.22,0.78,0,23
446,5,19,17,0,0,0,0,1,0,17
447,5,20,17,4,0,0.16,0.2,0.64,0,25
448,5,21,17,3,0,0.07,0.29,0.64,0,14
449,5,22,19,0,0,0,0,0,0,0
450,5,23,12,2,0.75,0,0,0,0.25,4
451,6,0,12,2,0.88,0,0,0,0.13,8
452,6,1,12,2,0.58,0,0,0.42,0,12
453,6,2,12,3,0.2,0.04,0,0.76,0,25
454,6,3,12,2,0,0,0,1,0,15
455,6,4,12,3,0.26,0,0,0.74,0,27
456,6,5,12,3,0.43,0,0,0.57,0,7
457,6,6,11,0,0,0,0,0,0,0
458,6,7,13,2,0.14,0.43,0.43,0,0,7
459,6,8,13,3,0.57,0.36,0,0.07,0,14
460,6,9,13,3,0.67,0,0,0.33,0,9
461,6,10,12,4,0.27,0,0,0.73,0,33
462,6,11,12,4,0.18,0,0,0.82,0,22
463,6,12,12,4,0.2,0.03,0,0.77,0,30
464,6,13,12,4,0.09,0.35,0,0.57,0,23
465,6,14,8,0,0,0,0,0,0,0
466,6,15,17,2,0,0.5,0,0.5,0,10
467,6,16,17,2,0,0,0.17,0.83,0,24
468,6,17,16,4,0.15,0,0.27,0.58,0,26
469,6,18,17,3,0.41,0,0.59,0,0,17
470,6,19,17,3,0.11,0,0.05,0.84,0,19
471,6,20,17,3,0.5,0,0.5,0,0,2
472,6,21,14,2,0,0.31,0.12,0.58,0,26
473,6,22,7,0,0,0.37,0.16,0.47,0,38
474,6,23,6,3,0,0,0.4,0.6,0,25
475,7,0,6,3,0,0,0.21,0.79,0,29
476,7,1,6,3,0,0,0,1,0,1
477,7,2,6,3,0,0,0,0,0,0
478,7,3,6,3,0,0,0,0,0,0
479,7,4,6,2,0,0,0,0,0,0
480,7,5,6,0,0,0,0,0,0,0
481,7,6,3,0,0,0,0,0,0,0
482,7,7,3,0,0,0,0,0,0,0
483,7,8,3,0,0,0,0,0,0,0
484,7,9,3,0,0,0,0,0,0,0
485,7,10,3,0,0,0.38,0.63,0,0,8
486,7,11,3,0,0,0,0.3,0.7,0,23
487,7,12,3,0,0,0,0.18,0.82,0,34
488,7,13,3,0,0,0.09,0.23,0.68,0,22
489,7,14,3,0,0,0,0,0,0,0
490,7,15,3,0,0,0,0,0,0,0
491,7,16,3,0,0,0,0,0,0,0
492,7,17,3,0,0,0,0,0,0,0
493,7,18,3,0,0,0,0,0,0,0
494,7,19,3,0,0,0,0,0,0,0
495,7,20,3,0,0,0,0,0,0,0
496,7,21,3,0,0,0,0,0,0,0
497,7,22,11,0,0,0,0,0,0,0
498,7,23,11,0,0,0,0,0,0,0
499,1,0,11,0,0,0,0,0,0,0
500,1,1,11,2,0,0,0,0,0,0
501,1,2,11,3,0,0,0,0,0,0
502,1,3,11,3,0,0,0,0,0,0
503,1,4,11,3,0,0,0,0,0,0
504,1,5,11,0,0,0,0,1,0,10
505,1,6,3,0,0,0,0,1,0,35
506,1,7,3,0,0,0,0,0.8,0.2,20
507,1,8,3,0,0,0,0,1,0,12
508,1,9,3,0,0,0,0,1,0,28
509,1,10,3,0,0,0,0,1,0,29
510,1,11,3,0,0,0,0,1,0,11
511,1,12,3,0,0,0,0,0,0,0
512,1,13,3,0,0,0,0,0,0,0
513,1,14,3,0,0,0,0,1,0,1
514,1,15,3,0,0,0,0,0,0,0
515,1,16,3,0,0,1,0,0,0,2
516,1,17,3,0,0,0,0,1,0,13
517,1,18,3,0,0.1,0,0,0.9,0,20
518,1,19,3,0,0,0,0,1,0,7
519,1,20,3,0,0,0,0,0,0,0
520,1,21,3,0,0,0,0,0,0,0
521,1,22,3,0,0.32,0,0,0.64,0.05,22
522,1,23,9,2,0.17,0,0,0.68,0.15,41
523,2,0,11,2,0.16,0,0,0.7,0.14,50
524,2,1,14,2,0,0.43,0,0.45,0.11,44
525,2,2,14,2,0.05,0.33,0,0.51,0.1,39
526,2,3,14,2,0.23,0,0,0.77,0,13
527,2,4,14,2,0,0,0,0,0,0
528,2,5,14,0,0,0.48,0,0.52,0,31
529,2,6,15,0,0.06,0.43,0.04,0.41,0.06,51
530,2,7,16,0,0.29,0.09,0.18,0.44,0,34
531,2,8,16,0,0.15,0.23,0.1,0.51,0,39
532,2,9,16,0,0.29,0.29,0.11,0.32,0,28
533,2,10,16,0,0.41,0.03,0.03,0.52,0,29
534,2,11,17,0,0.56,0,0,0.44,0,9
535,2,12,16,2,0,0,0,0,0,0
536,2,13,16,0,0,1,0,0,0,8
537,2,14,14,0,1,0,0,0,0,3
538,2,15,14,0,0.5,0,0,0.5,0,12
539,2,16,14,4,0.25,0.25,0,0.42,0.08,24
540,2,17,14,4,0.06,0.94,0,0,0,33
541,2,18,15,4,0.21,0.36,0,0.31,0.13,39
542,2,19,13,4,0.17,0.17,0,0.5,0.17,12
543,2,20,14,5,0,0,0,0,0,0
544,2,21,13,3,0.33,0.67,0,0,0,3
545,2,22,17,0,1,0,0,0,0,6
546,2,23,14,3,1,0,0,0,0,8
547,3,0,14,4,0.92,0.08,0,0,0,12
548,3,1,14,4,1,0,0,0,0,2
549,3,2,14,5,1,0,0,0,0,3
550,3,3,14,5,0,0,0,0,0,0
551,3,4,14,5,0,0,0,0,0,0
